ab_id,pitcher,batter,inning,o,event,g_id,p_score,p_throws,pitcher_id,batter_id,stand,top,pitcher_team,batter_team,season,strikeout,homerun,hit,out,b_score_start,b_score_end
2018003856,S.Romano,A.Eaton,1,0,Single,201800050,0,R,607219,594809,L,True,CIN,WAS,2018,False,False,True,False,0,0
2018003857,S.Romano,A.Rendon,1,0,Home Run,201800050,0,R,607219,543685,R,True,CIN,WAS,2018,False,True,True,False,0,2
2018003858,S.Romano,B.Harper,1,1,Groundout,201800050,0,R,607219,547180,L,True,CIN,WAS,2018,False,False,False,True,2,2
2018003859,S.Romano,R.Zimmerman,1,2,Groundout,201800050,0,R,607219,475582,R,True,CIN,WAS,2018,False,False,False,True,2,2
2018003860,S.Romano,T.Turner,1,2,Walk,201800050,0,R,607219,607208,R,True,CIN,WAS,2018,False,False,False,False,2,2
2018003861,S.Romano,M.Taylor,1,3,Strikeout,201800050,0,R,607219,572191,R,True,CIN,WAS,2018,True,False,False,True,2,2
2018003862,G.Gonzalez,B.Hamilton,1,1,Strikeout,201800050,2,L,461829,571740,R,False,WAS,CIN,2018,True,False,False,True,0,0
2018003863,G.Gonzalez,E.Suarez,1,2,Strikeout,201800050,2,L,461829,553993,R,False,WAS,CIN,2018,True,False,False,True,0,0
2018003864,G.Gonzalez,J.Votto,1,2,Single,201800050,2,L,461829,458015,L,False,WAS,CIN,2018,False,False,True,False,0,0
2018003865,G.Gonzalez,A.Duvall,1,3,Flyout,201800050,2,L,461829,594807,R,False,WAS,CIN,2018,False,False,False,True,0,0
2018003866,S.Romano,M.Montero,2,1,Groundout,201800050,0,R,607219,471083,L,True,CIN,WAS,2018,False,False,False,True,2,2
2018003867,S.Romano,G.Gonzalez,2,2,Strikeout,201800050,0,R,607219,461829,R,True,CIN,WAS,2018,True,False,False,True,2,2
2018003868,S.Romano,W.Difo,2,3,Groundout,201800050,0,R,607219,594694,L,True,CIN,WAS,2018,False,False,False,True,2,2
2018003869,G.Gonzalez,S.Gennett,2,1,Strikeout,201800050,2,L,461829,571697,L,False,WAS,CIN,2018,True,False,False,True,0,0
2018003870,G.Gonzalez,D.Mesoraco,2,2,Strikeout,201800050,2,L,461829,519023,R,False,WAS,CIN,2018,True,False,False,True,0,0
2018003871,G.Gonzalez,S.Schebler,2,2,Single,201800050,2,L,461829,594988,L,False,WAS,CIN,2018,False,False,True,False,0,0
2018003872,G.Gonzalez,J.Peraza,2,3,Lineout,201800050,2,L,461829,606299,R,False,WAS,CIN,2018,False,False,False,True,0,0
2018003873,S.Romano,A.Eaton,3,1,Groundout,201800050,0,R,607219,594809,L,True,CIN,WAS,2018,False,False,False,True,2,2
2018003874,S.Romano,A.Rendon,3,2,Lineout,201800050,0,R,607219,543685,R,True,CIN,WAS,2018,False,False,False,True,2,2
2018003875,S.Romano,B.Harper,3,3,Flyout,201800050,0,R,607219,547180,L,True,CIN,WAS,2018,False,False,False,True,2,2
2018003876,G.Gonzalez,S.Romano,3,1,Strikeout,201800050,2,L,461829,607219,L,False,WAS,CIN,2018,True,False,False,True,0,0
2018003877,G.Gonzalez,B.Hamilton,3,2,Lineout,201800050,2,L,461829,571740,R,False,WAS,CIN,2018,False,False,False,True,0,0
2018003878,G.Gonzalez,E.Suarez,3,3,Groundout,201800050,2,L,461829,553993,R,False,WAS,CIN,2018,False,False,False,True,0,0
2018003879,S.Romano,R.Zimmerman,4,0,Walk,201800050,0,R,607219,475582,R,True,CIN,WAS,2018,False,False,False,False,2,2
2018003880,S.Romano,T.Turner,4,0,Single,201800050,0,R,607219,607208,R,True,CIN,WAS,2018,False,False,True,False,2,2
