batter_id,g_id,batter,team,opp,rbi,strikeout,out,n_atbats,homerun,hit
134181,201800148,A.Beltre,tex,ana,0,1.0,2.0,4,0.0,2.0
134181,201800310,A.Beltre,tex,sea,0,0.0,1.0,4,0.0,2.0
134181,201801124,A.Beltre,tex,min,2,0.0,3.0,5,0.0,2.0
134181,201801139,A.Beltre,tex,min,1,1.0,2.0,5,1.0,3.0
134181,201801240,A.Beltre,tex,cha,0,1.0,1.0,1,0.0,0.0
134181,201801449,A.Beltre,tex,cle,1,1.0,4.0,6,0.0,2.0
134181,201801946,A.Beltre,tex,sfn,0,1.0,1.0,1,0.0,0.0
400085,201800193,I.Suzuki,sea,oak,0,1.0,3.0,3,0.0,0.0
400085,201800253,I.Suzuki,sea,hou,0,0.0,1.0,1,0.0,0.0
400085,201800310,I.Suzuki,sea,tex,0,1.0,1.0,5,0.0,2.0
400121,201801775,V.Martinez,det,cha,1,0.0,3.0,4,0.0,1.0
400121,201801919,V.Martinez,det,cha,0,1.0,3.0,4,0.0,0.0
400284,201801306,C.Utley,lan,ana,0,0.0,2.0,3,0.0,1.0
400284,201802421,C.Utley,lan,sfn,0,1.0,1.0,1,0.0,0.0
405395,201800148,A.Pujols,ana,tex,1,1.0,3.0,5,0.0,2.0
405395,201800402,A.Pujols,ana,nya,0,0.0,3.0,4,0.0,1.0
405395,201800547,A.Pujols,ana,min,0,0.0,3.0,4,0.0,1.0
405395,201800780,A.Pujols,ana,det,1,0.0,3.0,4,0.0,1.0
405395,201801262,A.Pujols,ana,sea,0,0.0,3.0,4,0.0,0.0
405395,201801292,A.Pujols,ana,sea,0,0.0,3.0,4,0.0,1.0
405395,201801306,A.Pujols,ana,lan,0,3.0,4.0,4,0.0,0.0
405395,201801368,A.Pujols,ana,sea,2,0.0,3.0,5,1.0,2.0
408045,201800547,J.Mauer,min,ana,0,0.0,3.0,4,0.0,1.0
408045,201801041,J.Mauer,min,cle,0,0.0,2.0,5,0.0,2.0
408045,201801124,J.Mauer,min,tex,1,1.0,3.0,4,0.0,1.0
408045,201801139,J.Mauer,min,tex,0,1.0,3.0,5,0.0,2.0
408045,201801468,J.Mauer,min,kca,0,0.0,1.0,4,0.0,3.0
408045,201802076,J.Mauer,min,hou,0,1.0,4.0,4,0.0,0.0
408045,201802401,J.Mauer,min,cha,1,0.0,2.0,5,0.0,2.0
408314,201801382,J.Reyes,nyn,phi,0,0.0,4.0,5,0.0,0.0
408314,201801806,J.Reyes,nyn,bal,0,0.0,3.0,5,0.0,2.0
408314,201801966,J.Reyes,nyn,chn,0,0.0,4.0,4,0.0,0.0
408314,201802422,J.Reyes,nyn,mia,0,0.0,1.0,1,0.0,0.0
425783,201800148,S.Choo,tex,ana,0,1.0,5.0,5,0.0,0.0
425783,201800310,S.Choo,tex,sea,1,0.0,3.0,4,0.0,1.0
425783,201801124,S.Choo,tex,min,3,2.0,2.0,5,1.0,2.0
425783,201801139,S.Choo,tex,min,1,1.0,3.0,5,0.0,1.0
425783,201801240,S.Choo,tex,cha,0,1.0,4.0,5,0.0,0.0
425783,201801449,S.Choo,tex,cle,1,1.0,4.0,7,0.0,2.0
425783,201801946,S.Choo,tex,sfn,0,0.0,2.0,4,0.0,1.0
425784,201800402,R.Rivera,ana,nya,0,1.0,3.0,4,0.0,1.0
425877,201800122,Y.Molina,sln,ari,0,0.0,2.0,3,0.0,1.0
425877,201800940,Y.Molina,sln,cin,0,1.0,4.0,5,0.0,1.0
425877,201801572,Y.Molina,sln,chn,0,2.0,3.0,4,0.0,1.0
425877,201801600,Y.Molina,sln,col,1,0.0,4.0,4,0.0,0.0
425877,201801676,Y.Molina,sln,pit,0,0.0,3.0,5,0.0,2.0
425877,201801848,Y.Molina,sln,mil,0,3.0,4.0,4,0.0,0.0
425877,201802188,Y.Molina,sln,lan,0,0.0,1.0,2,0.0,0.0
425877,201802278,Y.Molina,sln,atl,1,1.0,2.0,4,0.0,1.0
429664,201800193,R.Cano,sea,oak,0,0.0,0.0,4,0.0,1.0
429664,201800253,R.Cano,sea,hou,1,0.0,3.0,4,0.0,1.0
429664,201800310,R.Cano,sea,tex,0,0.0,3.0,5,0.0,1.0
429664,201802341,R.Cano,sea,oak,1,1.0,3.0,4,1.0,1.0
429665,201800128,E.Encarnacion,cle,kca,0,2.0,4.0,4,0.0,0.0
429665,201800465,E.Encarnacion,cle,nya,0,2.0,4.0,4,0.0,0.0
429665,201801041,E.Encarnacion,cle,min,0,0.0,3.0,4,0.0,1.0
429665,201801436,E.Encarnacion,cle,nya,2,0.0,2.0,4,1.0,1.0
429665,201801449,E.Encarnacion,cle,tex,1,0.0,2.0,6,0.0,3.0
429665,201801729,E.Encarnacion,cle,cha,0,0.0,0.0,1,0.0,0.0
