g_id,home_team,away_team,date,home_final_score,away_final_score,start_time,venue_name,umpire_1B,umpire_2B,umpire_3B,umpire_HP,weather,wind,attendance,elapsed_time,delay,season
201800050,CIN,WAS,2018-04-01,5,6,4:10 PM,Great American Ball Park,James Hoye,Jeff Kellogg,Quinn Wolcott,Marvin Hudson,"50 degrees, partly cloudy","8 mph, L to R",10355,167,0,2018
201800073,NYA,TBA,2018-04-03,11,4,4:19 PM,Yankee Stadium,Joe West,Doug Eddings,Marty Foster,Mark Ripperger,"40 degrees, overcast","7 mph, In from CF",46776,209,0,2018
201800099,COL,ATL,2018-04-06,3,8,3:11 PM,Coors Field,Bill Welke,Tony Randazzo,Lance Barrett,Nic Lentz,"27 degrees, snow","4 mph, R to L",48216,176,61,2018
201800115,PHI,MIA,2018-04-07,20,1,6:08 PM,Citizens Bank Park,Carlos Torres,Kerwin Danley,Paul Nauert,Scott Barry,"46 degrees, cloudy","5 mph, In from CF",33660,201,0,2018
201800122,SLN,ARI,2018-04-08,1,4,1:15 PM,Busch Stadium,Rob Drake,Mike Muchlinski,Mike Winters,Tim Timmons,"41 degrees, clear","7 mph, R to L",40468,173,0,2018
201800128,CLE,KCA,2018-04-08,3,1,1:10 PM,Progressive Field,Lance Barksdale,Roberto Ortiz,Will Little,Ted Barrett,"32 degrees, partly cloudy","10 mph, In from LF",14240,175,0,2018
201800133,HOU,SDN,2018-04-08,4,1,1:10 PM,Minute Maid Park,Jim Wolf,D.J. Reyburn,Sam Holbrook,Ryan Blakney,"52 degrees, cloudy","1 mph, Calm",37093,145,0,2018
201800148,TEX,ANA,2018-04-10,1,11,7:08 PM,Globe Life Park in Arlington,Alan Porter,Bill Miller,Angel Hernandez,Todd Tichenor,"71 degrees, clear","7 mph, Out to RF",18697,187,0,2018
201800177,BAL,TOR,2018-04-11,5,3,7:08 PM,Oriole Park at Camden Yards,Jeff Kellogg,Chris Segal,Marvin Hudson,Quinn Wolcott,"58 degrees, partly cloudy","9 mph, Varies",10399,177,0,2018
201800193,SEA,OAK,2018-04-13,7,4,7:11 PM,Safeco Field,Kerwin Danley,Paul Nauert,Scott Barry,Carlos Torres,"55 degrees, roof closed","0 mph, Calm",25352,188,0,2018
201800213,BOS,BAL,2018-04-15,3,1,1:05 PM,Fenway Park,Eric Cooper,Cory Blaser,Stu Scheurwater,Gary Cederstrom,"34 degrees, cloudy","23 mph, In from CF",32489,174,0,2018
201800253,SEA,HOU,2018-04-18,1,7,7:10 PM,Safeco Field,Tripp Gibson III,Brian Gorman,Sean Barber,Adrian Johnson,"54 degrees, roof closed","2 mph, Out to CF",14643,165,0,2018
