playerID,name,height,weight,birthCountry,bats
heredgu01,Guillermo Heredia,70.0,180.0,Cuba,R
gurrilo01,Lourdes Gurriel,74.0,185.0,Cuba,R
iglesra01,Raisel Iglesias,74.0,188.0,Cuba,R
gourryu01,Yuli Gurriel,72.0,190.0,Cuba,R
iglesjo01,Jose Iglesias,71.0,194.0,Cuba,R
diazal02,Aledmys Diaz,73.0,195.0,Cuba,R
hechaad01,Adeiny Hechavarria,72.0,195.0,Cuba,R
martile01,Leonys Martin,74.0,200.0,Cuba,L
moncayo01,Yoan Moncada,74.0,205.0,Cuba,B
eliasro01,Roenis Elias,73.0,205.0,Cuba,L
chapmar01,Aroldis Chapman,76.0,212.0,Cuba,L
moralke01,Kendrys Morales,73.0,225.0,Cuba,B
alonsyo01,Yonder Alonso,73.0,230.0,Cuba,L
solerjo01,Jorge Soler,76.0,230.0,Cuba,R
grandya01,Yasmani Grandal,73.0,235.0,Cuba,B
puigya01,Yasiel Puig,74.0,240.0,Cuba,R
abreujo02,Jose Abreu,75.0,255.0,Cuba,R
