name,height,weight,birthCountry,bats
Guillermo Heredia,70.0,180.0,Cuba,R
Lourdes Gurriel,74.0,185.0,Cuba,R
Raisel Iglesias,74.0,188.0,Cuba,R
Yuli Gurriel,72.0,190.0,Cuba,R
Jose Iglesias,71.0,194.0,Cuba,R
Aledmys Diaz,73.0,195.0,Cuba,R
Adeiny Hechavarria,72.0,195.0,Cuba,R
Leonys Martin,74.0,200.0,Cuba,L
Yoan Moncada,74.0,205.0,Cuba,B
Roenis Elias,73.0,205.0,Cuba,L
Aroldis Chapman,76.0,212.0,Cuba,L
Kendrys Morales,73.0,225.0,Cuba,B
Yonder Alonso,73.0,230.0,Cuba,L
Jorge Soler,76.0,230.0,Cuba,R
Yasmani Grandal,73.0,235.0,Cuba,B
Yasiel Puig,74.0,240.0,Cuba,R
Jose Abreu,75.0,255.0,Cuba,R
